Rank,Player,Team,Pos,Game,Spread,O/U,Final_Proj,Ceiling,Floor,Std_Dev,Ownership,Leverage,Status,Notes
17,Devin Carter,SAC,G,SAC @ NOP,TBD,~215,26.1,36,16,6.8,35%,VALUE,ACTIVE,MASSIVE USAGE SPIKE - Monk/LaVine/Hunter OUT + Sabonis OUT = 28-30% usage expected
18,Jaren Jackson Jr.,UTA,F,UTA @ MIA,MIA -8.5,242.5,26.4,34,16,6.1,31%,VALUE,ACTIVE,19.3 PPG baseline - 1.5 BPG block upside - pace environment boost despite blowout risk
19,LaMelo Ball,CHA,G,DET @ CHA,DET -2.5,223.5,28.5,38,18,6.9,42%,VALUE,ACTIVE,19.1 PPG - 7.5 APG upside - tight game scenario extends minutes
20,Jeremiah Fears,NOP,G,SAC @ NOP,TBD,~215,24.8,35,15,6.2,28%,VALUE_LEVERAGE,ACTIVE,BEST SUB-$5K PLAY - SAC allows 7th-most PPG - deepest leverage - Sabonis OUT helps
21,Danny Wolf,BKN,F,CHI @ BKN,CHI -3.5,223.5,28.4,38,18,6.9,41%,VALUE,ACTIVE,Expected 5x value - CHI allows 3rd-most PPG - 25+ min expected
22,Collin Sexton,CHI,G,CHI @ BKN,CHI -3.5,223.5,24.1,33,15,5.9,28%,VALUE,GTD,GTD (not injury) - likely plays - 6-8 min upside vs weak BKN D
23,Christian Braun,DEN,G,CLE @ DEN,CLE -1.5,237.5,21.2,30,12,6.1,19%,GTD,GTD,Ankle GTD confidence 70% - if plays: role player in high O/U game
24,Dyson Daniels,ATL,G,ATL @ MIN,MIN -6.5,237.5,22.3,32,14,6.2,24%,GTD,GTD,Ankle GTD confidence 75% - had 11/6/3 in 31 min before exit Saturday
25,Ziaire Williams,BKN,F,CHI @ BKN,CHI -3.5,223.5,23.5,32,14,5.8,31%,VALUE_FLIER,ACTIVE,CHI weak D - deep flier with 32 ceiling
26,Jalen Smith,CHI,F,CHI @ BKN,CHI -3.5,223.5,22.6,31,13,6.0,25%,VALUE,GTD,Calf GTD confidence 75% - favorable matchup if plays
27,Tre Jones,CHI,G,CHI @ BKN,CHI -3.5,223.5,21.8,30,12,5.8,22%,DEEP_VALUE,GTD,Hamstring GTD confidence 70% - backup PG minutes if healthy
28,DeMar DeRozan,CHI,F,CHI @ BKN,CHI -3.5,223.5,34.2,44,24,7.2,62%,NEUTRAL,ACTIVE,All-Star forward - 22+ PPG - reliable floor in 223.5 O/U game
29,Nikola Vucevic,CHI,C,CHI @ BKN,CHI -3.5,223.5,28.7,38,18,6.8,48%,VALUE,ACTIVE,12+ RPG baseline - favorable matchup vs BKN weak defense
30,Brandon Ingram,NOP,F,SAC @ NOP,TBD,~215,24.3,33,14,6.2,38%,NEUTRAL,ACTIVE,26.1 PPG season avg - consistent scorer in value game
31,Brandon Miller,CHA,F,DET @ CHA,DET -2.5,223.5,24.1,33,14,6.5,35%,VALUE,ACTIVE,22.9 PPG season avg - improving young star in tight game
32,Austin Reaves,LAL,G,OKC @ LAL,OKC -4,220.5,24.3,33,14,6.1,32%,VALUE,ACTIVE,18.6 PPG - expanded role vs depleted OKC
33,Nick Richards,CHA,C,DET @ CHA,DET -2.5,223.5,22.8,31,12,6.2,29%,VALUE,ACTIVE,11.3 PPG - 1.2 BPG upside - tight game scenario
34,John Collins,UTA,PF,UTA @ MIA,MIA -8.5,242.5,22.1,30,12,6.1,32%,VALUE,ACTIVE,13.5 PPG - pace environment favorable despite blowout risk
35,Naz Reid,MIN,C,ATL @ MIN,MIN -6.5,237.5,23.4,32,13,6.0,26%,VALUE,ACTIVE,Backup C - 10.2 PPG - fast pace environment helps rebound opportunities
36,Darius Garland,LAC,G,OKC @ LAL,OKC -4,220.5,23.7,32,13,6.1,25%,VALUE,GTD,GTD toe confidence 75% - starter role if plays
37,D'Angelo Russell,LAL,G,OKC @ LAL,OKC -4,220.5,22.1,30,12,6.0,21%,VALUE,GTD,GTD illness confidence 80% - if plays: reliable scorer
38,Isaiah Stewart,DET,F,DET @ CHA,DET -2.5,223.5,20.4,28,11,5.9,24%,VALUE_FLIER,ACTIVE,Frontcourt depth - 3rd/4th option in tight game
39,Herbert Jones,NOP,F,SAC @ NOP,TBD,~215,19.8,28,10,5.9,21%,VALUE,ACTIVE,Defensive forward - limited scoring but reliable in value game
40,Cole Anthony,PHX,G,PHX vs HOU,TBD,TBD,27.2,35,16,6.0,25%,FLIER,ACTIVE,Backup PG - role player - GTD status expected to clear
